Rk,Date,Round,Venue,Scorer,Opponent,Start,xG,PSxG,Body Part,Distance,Minute,Score,Goalkeeper,Assist,GCA1,Type,GCA2,Type.1,Notes,Team,League
9,2024-09-22,Matchweek 5,Away,Mario Gila,Fiorentina,Y,0.27,0.54,Head,7.0,41,0-0,David de Gea,Nuno Tavares,Nuno Tavares,Pass (Dead),Nuno Tavares,Fouled,,Lazio,Seriea
10,2024-09-29,Matchweek 6,Away,Mattéo Guendouzi,Torino,Y,0.09,0.04,Right Foot,18.0,8,0-0,Alberto Paleari,Nuno Tavares,Nuno Tavares,Pass (Live),Nuno Tavares,Take-On,,Lazio,Seriea
11,2024-09-29,Matchweek 6,Away,Boulaye Dia,Torino,Y,0.27,0.73,Right Foot,12.0,60,1-0,Alberto Paleari,Gustav Isaksen,Gustav Isaksen,Pass (Live),Gustav Isaksen,Take-On,,Lazio,Seriea
12,2024-09-29,Matchweek 6,Away,Tijjani Noslin,Torino,N,0.63,0.79,Right Foot,8.0,89,2-1,Alberto Paleari,Matías Vecino,Matías Vecino,Pass (Live),Luca Pellegrini,Pass (Live),,Lazio,Seriea
13,2024-10-06,Matchweek 7,Home,Mattia Zaccagni,Empoli,Y*,0.04,0.42,Head,11.0,45+4,0-1,Devis Vásquez,Nuno Tavares,Nuno Tavares,Pass (Live),Boulaye Dia,Pass (Live),,Lazio,Seriea
14,2024-10-06,Matchweek 7,Home,Pedro,Empoli,N,0.03,0.15,Right Foot,13.0,84,1-1,Devis Vásquez,Valentín Castellanos,Valentín Castellanos,Pass (Live),Mattia Zaccagni,Pass (Live),,Lazio,Seriea
15,2024-10-27,Matchweek 9,Home,Tijjani Noslin,Genoa,Y,0.07,0.78,Right Foot,12.0,21,0-0,Nicola Leali,Nuno Tavares,Tijjani Noslin,Take-On,Mario Gila,Pass (Live),,Lazio,Seriea
16,2024-10-27,Matchweek 9,Home,Pedro,Genoa,N,0.66,0.99,Right Foot,6.0,86,1-0,Nicola Leali,,Loum Tchaouna,Pass (Live),Valentín Castellanos,Pass (Live),,Lazio,Seriea
17,2024-10-27,Matchweek 9,Home,Matías Vecino,Genoa,N,0.14,0.52,Head,7.0,90+4,2-0,Nicola Leali,Nuno Tavares,Nuno Tavares,Pass (Live),Nuno Tavares,Take-On,,Lazio,Seriea
18,2024-10-31,Matchweek 10,Away,Valentín Castellanos,Como,Y,0.79,0.98,Right Foot,13.0,28,0-0,Emil Audero,,,Fouled,Gustav Isaksen,Pass (Live),,Lazio,Seriea
19,2024-10-31,Matchweek 10,Away,Pedro,Como,Y,0.14,0.13,Left Foot,13.0,31,1-0,Emil Audero,Nuno Tavares,Nuno Tavares,Pass (Live),Gustav Isaksen,Pass (Live),,Lazio,Seriea
20,2024-10-31,Matchweek 10,Away,Patric,Como,Y*,0.94,0.99,Head,2.0,71,2-1,Emil Audero,Boulaye Dia,Boulaye Dia,Shot,,,,Lazio,Seriea
21,2024-10-31,Matchweek 10,Away,Valentín Castellanos,Como,Y,0.53,0.3,Right Foot,16.0,81,3-1,Emil Audero,Boulaye Dia,Loum Tchaouna,Pass (Live),,,,Lazio,Seriea
22,2024-10-31,Matchweek 10,Away,Loum Tchaouna,Como,N,0.36,0.38,Right Foot,17.0,90+5,4-1,Emil Audero,Manuel Lazzari,Manuel Lazzari,Pass (Live),Matías Vecino,Pass (Live),,Lazio,Seriea
1,2024-08-31,Matchweek 3,Home,Nikola Krstović,Cagliari,Y,0.28,0.97,Right Foot,4.0,26,0-0,Simone Scuffet,Kialonda,Kialonda,Pass (Live),Remi Oudin,Pass (Live),Volley,Lecce,Seriea
2,2024-09-21,Matchweek 5,Home,Patrick Dorgu,Parma,Y,0.42,0.62,Left Foot,15.0,32,0-0,Zion Suzuki,Ylber Ramadani,Ylber Ramadani,Pass (Live),Nikola Krstović,Pass (Live),,Lecce,Seriea
3,2024-09-21,Matchweek 5,Home,Nikola Krstović,Parma,Y,0.06,0.55,Right Foot,22.0,59,1-0,Zion Suzuki,,Patrick Dorgu,Fouled,Tete Morente,Pass (Live),Deflected,Lecce,Seriea
4,2024-10-29,Matchweek 10,Home,Patrick Dorgu,Hellas Verona,Y,0.44,0.79,Head,5.0,51,0-0,Simone Perilli,Lameck Banda,Lameck Banda,Pass (Live),Ylber Ramadani,Pass (Live),,Lecce,Seriea
1,2024-08-17,Matchweek 1,Home,Álvaro Morata,Torino,N,0.08,0.24,Right Foot,11.0,89,0-2,Vanja Milinković-Savić,,Tijjani Reijnders,Shot,,,,Milan,Seriea
2,2024-08-17,Matchweek 1,Home,Noah Okafor,Torino,N,0.21,0.32,Right Foot,14.0,90+5,1-2,Vanja Milinković-Savić,Yunus Musah,Yunus Musah,Pass (Live),Tijjani Reijnders,Pass (Live),Volley,Milan,Seriea
3,2024-08-24,Matchweek 2,Away,Christian Pulisic,Parma,Y,0.89,0.96,Right Foot,4.0,66,0-1,Zion Suzuki,Rafael Leão,Rafael Leão,Pass (Live),Rafael Leão,Take-On,,Milan,Seriea
4,2024-08-31,Matchweek 3,Away,Strahinja Pavlović,Lazio,Y,0.66,0.98,Head,5.0,8,0-0,Ivan Provedel,Christian Pulisic,Christian Pulisic,Pass (Dead),Noah Okafor,Pass (Live),,Milan,Seriea
5,2024-08-31,Matchweek 3,Away,Rafael Leão,Lazio,N,0.1,0.16,Right Foot,12.0,72,1-2,Ivan Provedel,Tammy Abraham,Tammy Abraham,Pass (Live),Theo Hernández,Pass (Live),,Milan,Seriea
6,2024-09-14,Matchweek 4,Home,Theo Hernández,Venezia,Y*,0.08,0.11,Left Foot,9.0,2,0-0,Jesse Joronen,Rafael Leão,Rafael Leão,Pass (Live),Theo Hernández,Interception,,Milan,Seriea
7,2024-09-14,Matchweek 4,Home,Youssouf Fofana,Venezia,Y,0.09,0.37,Head,3.0,16,1-0,Jesse Joronen,Christian Pulisic,Christian Pulisic,Pass (Dead),Ruben Loftus-Cheek,Pass (Live),Deflected,Milan,Seriea
8,2024-09-14,Matchweek 4,Home,Christian Pulisic,Venezia,Y,0.79,0.76,Right Foot,13.0,25,2-0,Jesse Joronen,,Tammy Abraham,Fouled,Tijjani Reijnders,Shot,,Milan,Seriea
9,2024-09-14,Matchweek 4,Home,Tammy Abraham,Venezia,Y,0.79,0.76,Right Foot,13.0,29,3-0,Jesse Joronen,,Rafael Leão,Fouled,Tijjani Reijnders,Pass (Live),,Milan,Seriea
10,2024-09-22,Matchweek 5,Away,Christian Pulisic,Inter,Y,0.29,0.79,Right Foot,12.0,10,0-0,Yann Sommer,,Christian Pulisic,Tackle,Matteo Gabbia,Pass (Live),,Milan,Seriea
11,2024-09-22,Matchweek 5,Away,Matteo Gabbia,Inter,Y,0.04,0.42,Head,13.0,89,1-1,Yann Sommer,Tijjani Reijnders,Tijjani Reijnders,Pass (Dead),Ruben Loftus-Cheek,Fouled,,Milan,Seriea
12,2024-09-27,Matchweek 6,Home,Álvaro Morata,Lecce,Y,0.15,0.52,Head,6.0,38,0-0,Wladimiro Falcone,Theo Hernández,Theo Hernández,Pass (Dead),Rafael Leão,Fouled,,Milan,Seriea
13,2024-09-27,Matchweek 6,Home,Theo Hernández,Lecce,Y,0.08,0.36,Left Foot,11.0,41,1-0,Wladimiro Falcone,Rafael Leão,Rafael Leão,Pass (Live),Fikayo Tomori,Pass (Live),,Milan,Seriea
14,2024-09-27,Matchweek 6,Home,Christian Pulisic,Lecce,Y,0.5,0.5,Left Foot,9.0,43,2-0,Wladimiro Falcone,,Tammy Abraham,Shot,,,,Milan,Seriea
15,2024-10-06,Matchweek 7,Away,Christian Pulisic,Fiorentina,Y,0.12,0.81,Right Foot,7.0,60,0-1,David de Gea,Theo Hernández,Theo Hernández,Pass (Live),Fikayo Tomori,Pass (Live),Volley,Milan,Seriea
16,2024-10-19,Matchweek 8,Home,Samuel Chukwueze,Udinese,Y,0.17,0.24,Left Foot,15.0,13,0-0,Maduka Okoye,Christian Pulisic,Christian Pulisic,Pass (Live),Noah Okafor,Pass (Live),,Milan,Seriea
1,2024-09-01,Matchweek 3,Away,Milan Đurić,Fiorentina,Y,0.12,0.13,Right Foot,10.0,18,0-0,Pietro Terracciano,Pedro Pereira,Pedro Pereira,Pass (Live),Daniel Maldini,Pass (Live),,Monza,Seriea
2,2024-09-01,Matchweek 3,Away,Daniel Maldini,Fiorentina,Y,0.04,0.06,Right Foot,30.0,32,1-0,Pietro Terracciano,Giorgos Kyriakopoulos,Giorgos Kyriakopoulos,Pass (Live),Gianluca Caprari,Pass (Live),,Monza,Seriea
3,2024-09-15,Matchweek 4,Home,Dany Mota,Inter,N,0.05,0.62,Head,12.0,81,0-0,Yann Sommer,Armando Izzo,Armando Izzo,Pass (Live),Matteo Pessina,Pass (Live),,Monza,Seriea
4,2024-09-22,Matchweek 5,Home,Milan Đurić,Bologna,Y,0.43,0.64,Left Foot,3.0,43,0-1,Federico Ravaglia,,Daniel Maldini,Shot,,,,Monza,Seriea
5,2024-10-06,Matchweek 7,Home,Dany Mota,Roma,N,0.82,0.99,Right Foot,3.0,70,0-1,Mile Svilar,,Daniel Maldini,Pass (Live),Pablo Marí,Pass (Live),,Monza,Seriea
6,2024-10-21,Matchweek 8,Away,Dany Mota,Hellas Verona,Y,0.03,0.38,Right Foot,16.0,9,0-0,Lorenzo Montipò,Gianluca Caprari,Gianluca Caprari,Pass (Live),Andrea Carboni,Pass (Live),Volley,Monza,Seriea
7,2024-10-21,Matchweek 8,Away,Dany Mota,Hellas Verona,Y,0.61,0.71,Right Foot,9.0,74,1-0,Lorenzo Montipò,Milan Đurić,Milan Đurić,Pass (Live),Stefano Turati,Pass (Dead),,Monza,Seriea
8,2024-10-21,Matchweek 8,Away,Alessandro Bianco,Hellas Verona,N,0.39,0.46,Right Foot,9.0,79,2-0,Lorenzo Montipò,,,,,,,Monza,Seriea
9,2024-10-27,Matchweek 9,Home,Giorgos Kyriakopoulos,Venezia,Y,0.04,0.07,Left Foot,17.0,23,0-1,Filip Stankovic,Pedro Pereira,Giorgos Kyriakopoulos,Take-On,Pedro Pereira,Pass (Live),,Monza,Seriea
10,2024-10-27,Matchweek 9,Home,Milan Đurić,Venezia,Y,0.61,0.48,Left Foot,14.0,44,1-2,Filip Stankovic,Giorgos Kyriakopoulos,Giorgos Kyriakopoulos,Pass (Live),Dany Mota,Pass (Live),,Monza,Seriea
1,2024-08-25,Matchweek 2,Home,Giovanni Di Lorenzo,Bologna,Y*,0.78,0.95,Left Foot,8.0,45+2,0-0,Łukasz Skorupski,Khvicha Kvaratskhelia,Khvicha Kvaratskhelia,Pass (Live),Matteo Politano,Pass (Live),Volley,Napoli,Seriea
2,2024-08-25,Matchweek 2,Home,Khvicha Kvaratskhelia,Bologna,Y,0.05,0.41,Left Foot,23.0,75,1-0,Łukasz Skorupski,Amir Rrahmani,Amir Rrahmani,Pass (Dead),Giacomo Raspadori,Fouled,Deflected,Napoli,Seriea
3,2024-08-25,Matchweek 2,Home,Giovanni Simeone,Bologna,N,0.6,0.87,Right Foot,8.0,90+4,2-0,Łukasz Skorupski,David Neres,David Neres,Pass (Live),David Neres,Take-On,Deflected,Napoli,Seriea
4,2024-08-31,Matchweek 3,Home,Romelu Lukaku,Parma,N,0.27,0.27,Left Foot,11.0,90+2,0-1,Enrico Del Prato,Leonardo Spinazzola,Leonardo Spinazzola,Pass (Live),Khvicha Kvaratskhelia,Pass (Live),,Napoli,Seriea
5,2024-08-31,Matchweek 3,Home,Andre-Frank Zambo Anguissa,Parma,Y,0.1,0.06,Head,8.0,90+6,1-1,Enrico Del Prato,David Neres,David Neres,Pass (Live),Stanislav Lobotka,Pass (Live),,Napoli,Seriea
6,2024-09-15,Matchweek 4,Away,Giovanni Di Lorenzo,Cagliari,Y*,0.05,0.46,Left Foot,23.0,18,0-0,Simone Scuffet,Romelu Lukaku,Romelu Lukaku,Pass (Live),Matteo Politano,Pass (Live),Deflected,Napoli,Seriea
7,2024-09-15,Matchweek 4,Away,Khvicha Kvaratskhelia,Cagliari,Y,0.27,0.3,Right Foot,18.0,66,1-0,Simone Scuffet,Romelu Lukaku,Romelu Lukaku,Pass (Live),Giovanni Di Lorenzo,Pass (Live),,Napoli,Seriea
8,2024-09-15,Matchweek 4,Away,Romelu Lukaku,Cagliari,Y,0.47,0.97,Left Foot,13.0,70,2-0,Simone Scuffet,Khvicha Kvaratskhelia,Khvicha Kvaratskhelia,Pass (Live),,,,Napoli,Seriea
9,2024-09-15,Matchweek 4,Away,Alessandro Buongiorno,Cagliari,Y,0.25,0.33,Head,4.0,90+3,3-0,Simone Scuffet,David Neres,David Neres,Pass (Dead),Billy Gilmour,Pass (Live),,Napoli,Seriea
10,2024-09-29,Matchweek 6,Home,Matteo Politano,Monza,Y,0.14,0.33,Left Foot,8.0,22,0-0,Stefano Turati,,Andre-Frank Zambo Anguissa,Pass (Live),Stanislav Lobotka,Pass (Live),,Napoli,Seriea
11,2024-09-29,Matchweek 6,Home,Khvicha Kvaratskhelia,Monza,Y,0.35,0.24,Right Foot,10.0,33,1-0,Stefano Turati,Scott McTominay,Scott McTominay,Shot,,,,Napoli,Seriea
12,2024-10-04,Matchweek 7,Home,Scott McTominay,Como,Y,0.08,0.76,Right Foot,16.0,1,0-0,Emil Audero,Romelu Lukaku,Romelu Lukaku,Pass (Live),Giovanni Di Lorenzo,Pass (Live),,Napoli,Seriea
13,2024-10-04,Matchweek 7,Home,Romelu Lukaku,Como,Y,0.79,0.91,Left Foot,13.0,53,1-1,Emil Audero,,Mathías Olivera,Fouled,Mathías Olivera,Tackle,,Napoli,Seriea
14,2024-10-04,Matchweek 7,Home,David Neres,Como,N,0.55,0.61,Left Foot,15.0,86,2-1,Emil Audero,Romelu Lukaku,Romelu Lukaku,Pass (Live),Stanislav Lobotka,Pass (Live),,Napoli,Seriea
15,2024-10-20,Matchweek 8,Away,Khvicha Kvaratskhelia,Empoli,Y,0.79,0.79,Right Foot,13.0,63,0-0,Devis Vásquez,,Matteo Politano,Fouled,Giovanni Simeone,Shot,,Napoli,Seriea
16,2024-10-26,Matchweek 9,Home,Giovanni Di Lorenzo,Lecce,Y*,0.89,0.99,Right Foot,1.0,73,0-0,Wladimiro Falcone,,Giovanni Di Lorenzo,Shot,,,,Napoli,Seriea
17,2024-10-29,Matchweek 10,Away,Romelu Lukaku,Milan,Y,0.4,0.7,Left Foot,17.0,5,0-0,Mike Maignan,Andre-Frank Zambo Anguissa,Andre-Frank Zambo Anguissa,Pass (Live),Amir Rrahmani,Pass (Live),,Napoli,Seriea
18,2024-10-29,Matchweek 10,Away,Khvicha Kvaratskhelia,Milan,Y,0.03,0.45,Right Foot,25.0,43,1-0,Mike Maignan,Mathías Olivera,Mathías Olivera,Pass (Live),Scott McTominay,Pass (Live),,Napoli,Seriea
1,2024-08-17,Matchweek 1,Home,Dennis Man,Fiorentina,Y,0.11,0.57,Left Foot,16.0,22,0-0,Pietro Terracciano,Ange-Yoan Bonny,Ange-Yoan Bonny,Pass (Live),Emanuele Valeri,Pass (Live),,Parma,Seriea
2,2024-08-24,Matchweek 2,Home,Dennis Man,Milan,Y,0.46,0.39,Left Foot,10.0,2,0-0,Mike Maignan,Emanuele Valeri,Emanuele Valeri,Pass (Live),Valentin Mihaila,Pass (Live),,Parma,Seriea
3,2024-08-24,Matchweek 2,Home,Matteo Cancellieri,Milan,N,0.64,0.82,Right Foot,8.0,77,1-1,Mike Maignan,Pontus Almqvist,Pontus Almqvist,Pass (Live),Emanuele Valeri,Pass (Live),,Parma,Seriea
4,2024-08-31,Matchweek 3,Away,Ange-Yoan Bonny,Napoli,Y,0.79,0.65,Right Foot,13.0,19,0-0,Alex Meret,,Ange-Yoan Bonny,Fouled,Adrian Bernabe,Pass (Live),,Parma,Seriea
5,2024-09-16,Matchweek 4,Home,Enrico Del Prato,Udinese,Y*,0.11,0.35,Right Foot,9.0,2,0-0,Maduka Okoye,Valentin Mihaila,Valentin Mihaila,Pass (Live),Dennis Man,Pass (Dead),Volley,Parma,Seriea
6,2024-09-16,Matchweek 4,Home,Ange-Yoan Bonny,Udinese,Y,0.25,0.73,Right Foot,14.0,43,1-0,Maduka Okoye,Dennis Man,Ange-Yoan Bonny,Take-On,Dennis Man,Pass (Live),,Parma,Seriea
7,2024-09-21,Matchweek 5,Away,Pontus Almqvist,Lecce,N,0.17,0.21,Left Foot,12.0,90+3,0-2,Wladimiro Falcone,Mohamed Haj,Mohamed Haj,Shot,,,,Parma,Seriea
8,2024-09-21,Matchweek 5,Away,Antoine Hainaut,Lecce,N,0.33,0.7,Head,7.0,90+5,1-2,Wladimiro Falcone,Mohamed Haj,Mohamed Haj,Pass (Live),Antoine Hainaut,Pass (Live),,Parma,Seriea
9,2024-09-30,Matchweek 6,Home,Dennis Man,Cagliari,Y,0.41,0.76,Left Foot,12.0,62,0-1,Simone Scuffet,Woyo Coulibaly,Woyo Coulibaly,Pass (Live),Woyo Coulibaly,Take-On,,Parma,Seriea
10,2024-09-30,Matchweek 6,Home,Hernani,Cagliari,Y,0.79,0.93,Right Foot,13.0,87,1-2,Simone Scuffet,,Gabriel Charpentier,Fouled,Dennis Man,Pass (Live),,Parma,Seriea
11,2024-10-19,Matchweek 8,Away,Ange-Yoan Bonny,Como,Y,0.19,0.85,Right Foot,8.0,20,0-0,Emil Audero,Hernani,Hernani,Pass (Live),Pontus Almqvist,Pass (Live),,Parma,Seriea
12,2024-10-27,Matchweek 9,Home,Gabriel Charpentier,Empoli,N,0.17,0.49,Right Foot,17.0,80,0-1,Devis Vásquez,Emanuele Valeri,Emanuele Valeri,Pass (Live),Adrian Bernabe,Pass (Live),Deflected,Parma,Seriea
13,2024-10-30,Matchweek 10,Away,Enrico Del Prato,Juventus,Y*,0.06,0.19,Head,11.0,3,0-0,Michele Di Gregorio,Botond Balogh,Botond Balogh,Pass (Live),Adrian Bernabe,Pass (Live),,Parma,Seriea
14,2024-10-30,Matchweek 10,Away,Simon Sohm,Juventus,Y,0.06,0.07,Right Foot,16.0,38,1-1,Michele Di Gregorio,Dennis Man,Dennis Man,Pass (Live),Valentin Mihaila,Pass (Live),,Parma,Seriea
1,2024-08-25,Matchweek 2,Home,Eldor Shomurodov,Empoli,N,0.09,0.36,Head,11.0,80,0-2,Devis Vásquez,Tommaso Baldanzi,Tommaso Baldanzi,Pass (Live),Tommaso Baldanzi,Tackle,,Roma,Seriea
2,2024-09-15,Matchweek 4,Away,Artem Dovbyk,Genoa,Y,0.41,0.57,Right Foot,8.0,37,0-0,Pierluigi Gollini,,Niccolò Pisilli,Shot,,,,Roma,Seriea
3,2024-09-22,Matchweek 5,Home,Artem Dovbyk,Udinese,Y,0.11,0.61,Left Foot,16.0,19,0-0,Maduka Okoye,Stephan El Shaarawy,Stephan El Shaarawy,Pass (Live),,,,Roma,Seriea
4,2024-09-22,Matchweek 5,Home,Paulo Dybala,Udinese,Y,0.79,0.95,Left Foot,13.0,49,1-0,Maduka Okoye,,Paulo Dybala,Fouled,Artem Dovbyk,Pass (Live),,Roma,Seriea
5,2024-09-22,Matchweek 5,Home,Tommaso Baldanzi,Udinese,N,0.29,0.48,Left Foot,8.0,70,2-0,Maduka Okoye,,Tommaso Baldanzi,Pass (Live),Stephan El Shaarawy,Pass (Live),,Roma,Seriea
6,2024-09-29,Matchweek 6,Home,Bryan Cristante,Venezia,Y,0.02,0.1,Right Foot,35.0,74,0-1,Jesse Joronen,Lorenzo Pellegrini,Lorenzo Pellegrini,Pass (Live),Niccolò Pisilli,Pass (Live),Deflected,Roma,Seriea
7,2024-09-29,Matchweek 6,Home,Niccolò Pisilli,Venezia,N,0.28,0.82,Head,9.0,83,1-1,Jesse Joronen,Leandro Paredes,Leandro Paredes,Pass (Dead),Bryan Cristante,Pass (Live),,Roma,Seriea
8,2024-10-06,Matchweek 7,Away,Artem Dovbyk,Monza,Y,0.32,0.54,Left Foot,11.0,61,0-0,Semuel Pizzignacco,,Artem Dovbyk,Take-On,Artem Dovbyk,Take-On,,Roma,Seriea
9,2024-10-27,Matchweek 9,Away,Manu Koné,Fiorentina,N,0.02,0.29,Right Foot,26.0,39,0-2,David de Gea,Obite N'Dicka,Obite N'Dicka,Pass (Live),Gianluca Mancini,Pass (Live),,Roma,Seriea
10,2024-10-31,Matchweek 10,Home,Paulo Dybala,Torino,Y,0.18,0.65,Left Foot,20.0,20,0-0,Vanja Milinković-Savić,,,,,,Deflected,Roma,Seriea
1,2024-08-17,Matchweek 1,Away,Malick Thiaw(OG),Milan,Y,,,,,30,0-0,Mike Maignan,,,,,,Own Goal,Torino,Seriea
2,2024-08-17,Matchweek 1,Away,Duván Zapata,Milan,Y*,0.72,0.97,Head,3.0,68,1-0,Mike Maignan,Valentino Lazaro,Valentino Lazaro,Pass (Live),Ivan Ilić,Pass (Live),,Torino,Seriea
3,2024-08-25,Matchweek 2,Home,Ivan Ilić,Atalanta,Y,0.47,0.53,Left Foot,12.0,31,0-1,Marco Carnesecchi,Che Adams,Che Adams,Pass (Live),Ivan Ilić,Pass (Live),,Torino,Seriea
4,2024-08-25,Matchweek 2,Home,Che Adams,Atalanta,Y,0.85,0.99,Right Foot,10.0,49,1-1,Marco Carnesecchi,,Duván Zapata,Shot,,,,Torino,Seriea
5,2024-08-30,Matchweek 3,Away,Saúl Coco,Venezia,Y,0.15,0.86,Head,7.0,86,0-0,Jesse Joronen,Adam Masina,Adam Masina,Pass (Live),Ivan Ilić,Pass (Dead),,Torino,Seriea
6,2024-09-20,Matchweek 5,Away,Antonio Sanabria,Hellas Verona,Y,0.59,0.63,Right Foot,15.0,10,0-0,Lorenzo Montipò,,Ivan Ilić,Pass (Live),Samuele Ricci,Pass (Live),,Torino,Seriea
7,2024-09-20,Matchweek 5,Away,Duván Zapata,Hellas Verona,Y*,0.08,0.6,Head,10.0,33,1-1,Lorenzo Montipò,Valentino Lazaro,Valentino Lazaro,Pass (Live),Sebastian Walukiewicz,Pass (Live),,Torino,Seriea
8,2024-09-20,Matchweek 5,Away,Che Adams,Hellas Verona,N,0.04,0.09,Right Foot,26.0,79,2-1,Lorenzo Montipò,,,,,,,Torino,Seriea
9,2024-09-29,Matchweek 6,Home,Che Adams,Lazio,N,0.12,0.76,Right Foot,16.0,67,0-2,Ivan Provedel,Nikola Vlašić,Nikola Vlašić,Pass (Live),Ivan Ilić,Pass (Live),,Torino,Seriea
10,2024-09-29,Matchweek 6,Home,Saúl Coco,Lazio,Y,0.07,0.24,Right Foot,11.0,90+2,1-3,Ivan Provedel,Adam Masina,Adam Masina,Pass (Live),Ivan Ilić,Pass (Dead),Volley,Torino,Seriea
11,2024-10-05,Matchweek 7,Away,Duván Zapata,Inter,Y*,0.65,0.9,Right Foot,8.0,36,0-2,Yann Sommer,Gvidas Gineitis,Gvidas Gineitis,Pass (Live),,,,Torino,Seriea
12,2024-10-05,Matchweek 7,Away,Nikola Vlašić,Inter,N,0.79,0.65,Right Foot,13.0,86,1-3,Yann Sommer,,Adam Masina,Fouled,Adam Masina,Take-On,,Torino,Seriea
13,2024-10-20,Matchweek 8,Away,Antonio Sanabria,Cagliari,Y,0.2,0.93,Head,8.0,41,0-1,Simone Scuffet,Valentino Lazaro,Valentino Lazaro,Pass (Dead),Valentino Lazaro,Pass (Live),,Torino,Seriea
14,2024-10-20,Matchweek 8,Away,Karol Linetty,Cagliari,Y*,0.03,0.03,Right Foot,26.0,55,1-1,Simone Scuffet,Nikola Vlašić,Nikola Vlašić,Pass (Live),Antonio Sanabria,Pass (Live),,Torino,Seriea
15,2024-10-25,Matchweek 9,Home,Eybi Nije,Como,N,0.94,0.99,Right Foot,4.0,75,0-0,Emil Audero,,Eybi Nije,Take-On,,,,Torino,Seriea
1,2024-08-18,Matchweek 1,Away,Lautaro Gianetti,Bologna,Y,0.07,0.66,Head,6.0,68,0-1,Łukasz Skorupski,Brenner,Florian Thauvin,Shot,,,,Udinese,Seriea
2,2024-08-24,Matchweek 2,Home,Lorenzo Lucca,Lazio,Y,0.21,0.68,Head,9.0,5,0-0,Ivan Provedel,Florian Thauvin,Florian Thauvin,Pass (Live),Martín Payero,Pass (Live),,Udinese,Seriea
3,2024-08-24,Matchweek 2,Home,Florian Thauvin,Lazio,Y*,0.31,0.7,Left Foot,11.0,49,1-0,Ivan Provedel,,,,,,,Udinese,Seriea
4,2024-09-01,Matchweek 3,Home,Brenner,Como,Y,0.13,0.48,Right Foot,14.0,43,0-0,Pepe Reina,Kingsley Ehizibue,Kingsley Ehizibue,Pass (Live),Florian Thauvin,Pass (Live),,Udinese,Seriea
5,2024-09-16,Matchweek 4,Away,Lorenzo Lucca,Parma,Y,0.18,0.39,Head,7.0,49,0-2,Leandro Chichizola,Hassane Kamara,Hassane Kamara,Pass (Live),Sandi Lovrić,Pass (Live),,Udinese,Seriea
6,2024-09-16,Matchweek 4,Away,Florian Thauvin,Parma,Y*,0.98,0.99,Left Foot,1.0,68,1-2,Leandro Chichizola,Keinan Davis,Keinan Davis,Shot,,,Volley,Udinese,Seriea
7,2024-09-16,Matchweek 4,Away,Florian Thauvin,Parma,Y*,0.29,0.76,Left Foot,7.0,77,2-2,Leandro Chichizola,,Jurgen Ekkelenkamp,Shot,,,,Udinese,Seriea
8,2024-09-28,Matchweek 6,Home,Christian Kabasele,Inter,Y,0.03,0.33,Head,15.0,35,0-1,Yann Sommer,Jordan Zemura,Jordan Zemura,Pass (Live),Sandi Lovrić,Pass (Live),,Udinese,Seriea
9,2024-09-28,Matchweek 6,Home,Lorenzo Lucca,Inter,N,0.22,0.79,Right Foot,11.0,83,1-3,Yann Sommer,Brenner,Lorenzo Lucca,Take-On,Brenner,Pass (Live),,Udinese,Seriea
10,2024-10-05,Matchweek 7,Home,Jordan Zemura,Lecce,Y,0.12,0.71,Left Foot,24.0,75,0-0,Wladimiro Falcone,,Hassane Kamara,Fouled,Hassane Kamara,Tackle,,Udinese,Seriea
11,2024-10-25,Matchweek 9,Home,Lorenzo Lucca,Cagliari,Y,0.36,0.78,Head,7.0,38,0-0,Simone Scuffet,Hassane Kamara,Hassane Kamara,Pass (Live),Kingsley Ehizibue,Shot,,Udinese,Seriea
12,2024-10-25,Matchweek 9,Home,Keinan Davis,Cagliari,Y,0.2,0.79,Right Foot,10.0,78,1-0,Simone Scuffet,Jesper Karlström,Keinan Davis,Take-On,Jesper Karlström,Pass (Live),,Udinese,Seriea
13,2024-10-30,Matchweek 10,Away,Sandi Lovrić,Venezia,Y,0.18,0.74,Right Foot,18.0,19,0-0,Filip Stankovic,Iker Bravo,Martín Payero,Pass (Live),Sandi Lovrić,Pass (Live),,Udinese,Seriea
14,2024-10-30,Matchweek 10,Away,Iker Bravo,Venezia,Y,0.06,0.14,Right Foot,23.0,25,1-0,Filip Stankovic,,,,,,,Udinese,Seriea
1,2024-08-18,Matchweek 1,Away,Magnus Kofod Andersen,Lazio,Y,0.04,0.14,Right Foot,16.0,3,0-0,Ivan Provedel,Mikael Ellertsson,Mikael Ellertsson,Pass (Live),Mikael Ellertsson,Pass (Live),,Venezia,Seriea
2,2024-09-21,Matchweek 5,Home,Gianluca Busio,Genoa,Y,0.02,0.27,Right Foot,29.0,63,0-0,Pierluigi Gollini,Antonio Candela,Antonio Candela,Pass (Live),Magnus Kofod Andersen,Shot,,Venezia,Seriea
3,2024-09-21,Matchweek 5,Home,Joel Pohjanpalo,Genoa,Y*,0.37,0.89,Right Foot,9.0,85,1-0,Pierluigi Gollini,John Yeboah,John Yeboah,Pass (Live),Issa Doumbia,Pass (Live),Volley,Venezia,Seriea
4,2024-09-29,Matchweek 6,Away,Joel Pohjanpalo,Roma,Y*,0.15,0.7,Right Foot,12.0,44,0-0,Mile Svilar,,Gianluca Busio,Shot,,,,Venezia,Seriea
