Rk,Date,Round,Venue,Scorer,Opponent,Start,xG,PSxG,Body Part,Distance,Minute,Score,Goalkeeper,Assist,GCA1,Type,GCA2,Type.1,Notes,Team,League
3,2024-08-30,Matchweek 3,Home,Gift Orban,Strasbourg,N,0.66,0.99,Right Foot,5.0,63,2-3,Karl-Johan Johnsson,Alexandre Lacazette,Alexandre Lacazette,Pass (Live),Corentin Tolisso,Pass (Live),Volley,Lyon,Ligue1
4,2024-08-30,Matchweek 3,Home,Gift Orban,Strasbourg,N,0.27,0.92,Head,8.0,72,3-3,Karl-Johan Johnsson,Malick Fofana,Malick Fofana,Pass (Live),Maxence Caqueret,Pass (Live),,Lyon,Ligue1
5,2024-09-22,Matchweek 5,Home,Duje Ćaleta-Car,Marseille,Y,0.06,0.47,Head,9.0,53,0-0,Gerónimo Rulli,Clinton Mata,Clinton Mata,Pass (Live),Clinton Mata,Take-On,Deflected,Lyon,Ligue1
6,2024-09-22,Matchweek 5,Home,Rayan Cherki,Marseille,N,0.16,0.91,Left Foot,4.0,90+3,1-2,Gerónimo Rulli,Clinton Mata,Clinton Mata,Pass (Live),Ernest Nuamah,Pass (Live),Deflected,Lyon,Ligue1
7,2024-09-29,Matchweek 6,Away,Rasmus Nicolaisen(OG),Toulouse,Y,,,,,28,0-1,Guillaume Restes,,,,,,Own Goal,Lyon,Ligue1
8,2024-09-29,Matchweek 6,Away,Malick Fofana,Toulouse,N,0.11,0.26,Left Foot,9.0,90+5,1-1,Guillaume Restes,,Rayan Cherki,Shot,,,,Lyon,Ligue1
9,2024-10-06,Matchweek 7,Home,Nicolás Tagliafico,Nantes,Y,0.45,0.62,Right Foot,8.0,22,0-0,Alban Lafont,Saïd Benrahma,Saïd Benrahma,Pass (Live),Moussa Niakhate,Pass (Live),,Lyon,Ligue1
10,2024-10-06,Matchweek 7,Home,Nicolas Pallois(OG),Nantes,Y,,,,,54,1-0,Alban Lafont,,,,,,Own Goal,Lyon,Ligue1
11,2024-10-20,Matchweek 8,Away,Abner,Le Havre,Y,0.04,0.03,Left Foot,18.0,32,0-0,Arthur Desmas,,Rayan Cherki,Pass (Live),Clinton Mata,Pass (Live),Volley,Lyon,Ligue1
12,2024-10-20,Matchweek 8,Away,Malick Fofana,Le Havre,Y,0.96,1.0,Right Foot,11.0,57,1-0,Arthur Desmas,Corentin Tolisso,Malick Fofana,Take-On,Corentin Tolisso,Pass (Live),,Lyon,Ligue1
13,2024-10-20,Matchweek 8,Away,Alexandre Lacazette,Le Havre,Y*,0.76,0.99,Right Foot,4.0,71,2-0,Arthur Desmas,Rayan Cherki,Rayan Cherki,Pass (Live),Malick Fofana,Pass (Live),,Lyon,Ligue1
14,2024-10-20,Matchweek 8,Away,Saïd Benrahma,Le Havre,N,0.29,0.46,Right Foot,25.0,87,3-0,Arthur Desmas,Georges Mikautadze,Georges Mikautadze,Pass (Live),Saïd Benrahma,Pass (Live),,Lyon,Ligue1
15,2024-10-27,Matchweek 9,Home,Georges Mikautadze,Auxerre,Y,0.79,0.75,Right Foot,13.0,45+5,0-0,Donovan Léon,,Georges Mikautadze,Fouled,,,,Lyon,Ligue1
16,2024-10-27,Matchweek 9,Home,Georges Mikautadze,Auxerre,Y,0.31,0.88,Head,4.0,62,1-1,Donovan Léon,Saïd Benrahma,Saïd Benrahma,Pass (Live),Nemanja Matić,Pass (Live),,Lyon,Ligue1
1,2024-08-17,Matchweek 1,Away,Mason Greenwood,Brest,Y,0.02,0.14,Right Foot,14.0,3,0-0,Marco Bizot,Amine Harit,Amine Harit,Pass (Live),Luis Henrique,Pass (Live),,Marseille,Ligue1
2,2024-08-17,Matchweek 1,Away,Luis Henrique,Brest,Y,0.2,0.74,Right Foot,14.0,26,1-0,Marco Bizot,Amine Harit,Amine Harit,Pass (Live),Mason Greenwood,Pass (Live),Deflected,Marseille,Ligue1
3,2024-08-17,Matchweek 1,Away,Mason Greenwood,Brest,Y,0.79,0.84,Right Foot,13.0,31,2-0,Marco Bizot,,Amine Harit,Fouled,Elye Wahi,Pass (Live),,Marseille,Ligue1
4,2024-08-17,Matchweek 1,Away,Luis Henrique,Brest,Y,0.33,0.32,Left Foot,12.0,48,3-1,Marco Bizot,,Leonardo Balerdi,Pass (Live),Gerónimo Rulli,Pass (Live),,Marseille,Ligue1
5,2024-08-17,Matchweek 1,Away,Elye Wahi,Brest,Y,0.79,0.97,Right Foot,13.0,69,4-1,Marco Bizot,,Mason Greenwood,Fouled,Amine Harit,Pass (Live),,Marseille,Ligue1
6,2024-08-25,Matchweek 2,Home,Amine Harit,Reims,Y,0.25,0.95,Right Foot,12.0,25,0-0,Yehvann Diouf,Quentin Merlin,Quentin Merlin,Pass (Live),Luis Henrique,Pass (Live),,Marseille,Ligue1
7,2024-08-25,Matchweek 2,Home,Mason Greenwood,Reims,Y,0.49,0.85,Head,5.0,71,1-2,Yehvann Diouf,,Quentin Merlin,Shot,,,,Marseille,Ligue1
8,2024-08-31,Matchweek 3,Away,Mason Greenwood,Toulouse,Y,0.07,0.51,Left Foot,10.0,16,0-0,Guillaume Restes,Luis Henrique,Luis Henrique,Pass (Live),Quentin Merlin,Pass (Live),,Marseille,Ligue1
9,2024-08-31,Matchweek 3,Away,Mason Greenwood,Toulouse,Y,0.14,0.13,Left Foot,14.0,17,1-0,Guillaume Restes,Luis Henrique,Luis Henrique,Pass (Live),Elye Wahi,Pass (Live),,Marseille,Ligue1
